department_management.head	department_management.management	department_management.department
farm	has	farm.farm_competition
farm.farm_competition	has	*
farm	has	farm.competition_record
farm.competition_record	has	*
farm	has	farm.farm_competition_HAS_farm
farm.farm_competition_HAS_farm	has	*
farm.city	has	farm.city.City_ID
farm.city	has	farm.city.Status
farm.city	has	farm.city.Census_Ranking
farm.city	has	farm.city.Population
farm.city	has	farm.city.Official_Name
farm.city	has	farm.city.Area_km_2
farm.farm	has	farm.farm.Total_Horses
farm.farm	has	farm.farm.Bulls
farm.farm	has	farm.farm.Year
farm.farm	has	farm.farm.Total_Cattle
farm.farm	has	farm.farm.Farm_ID
farm.farm	has	farm.farm.Working_Horses
farm.farm	has	farm.farm.Oxen
farm.farm	has	farm.farm.Cows
farm.farm	has	farm.farm.Pigs
farm.farm	has	farm.farm.Sheep_and_Goats
farm.farm_competition	has	farm.farm_competition.Year
farm.farm_competition	has	farm.farm_competition.Theme
farm.farm_competition	has	farm.farm_competition.Host_city_ID
farm.farm_competition	has	farm.farm_competition.Hosts
farm.farm_competition	has	farm.farm_competition.Competition_ID
farm.competition_record	has	farm.competition_record.Farm_ID
farm.competition_record	has	farm.competition_record.Rank
farm.competition_record	has	farm.competition_record.Competition_ID
solvency_ii	has	*
solvency_ii	has	solvency_ii.Addresses
solvency_ii.Addresses	has	*
solvency_ii	has	solvency_ii.Locations
solvency_ii.Locations	has	*
solvency_ii	has	solvency_ii.Products
solvency_ii.Products	has	*
solvency_ii	has	solvency_ii.Parties
solvency_ii.Parties	has	*
solvency_ii	has	solvency_ii.Assets
solvency_ii.Assets	has	*
solvency_ii	has	solvency_ii.Channels
solvency_ii.Channels	has	*
solvency_ii	has	solvency_ii.Finances
solvency_ii.Finances	has	*
solvency_ii	has	solvency_ii.Events
solvency_ii.Events	has	*
solvency_ii	has	solvency_ii.Products_in_Events
solvency_ii.Products_in_Events	has	*
solvency_ii	has	solvency_ii.Agreements
solvency_ii.Agreements	has	*
solvency_ii	has	solvency_ii.Assets_in_Events
solvency_ii.Assets_in_Events	has	*
solvency_ii	has	solvency_ii.Parties_in_Events
solvency_ii.Parties_in_Events	has	*
solvency_ii	has	solvency_ii.events_HAS_solvency_ii
solvency_ii.events_HAS_solvency_ii	has	*
solvency_ii	has	solvency_ii.products_in_events_HAS_solvency_ii
solvency_ii.products_in_events_HAS_solvency_ii	has	*
solvency_ii	has	solvency_ii.agreements_HAS_solvency_ii
solvency_ii.agreements_HAS_solvency_ii	has	*
solvency_ii	has	solvency_ii.assets_in_events_HAS_solvency_ii
solvency_ii.assets_in_events_HAS_solvency_ii	has	*
solvency_ii.Addresses	has	solvency_ii.Addresses.address_details
solvency_ii.Addresses	has	solvency_ii.Addresses.Address_ID
solvency_ii.Locations	has	solvency_ii.Locations.Other_Details
solvency_ii.Locations	has	solvency_ii.Locations.Location_ID
solvency_ii.Products	has	solvency_ii.Products.Product_Price
solvency_ii.Products	has	solvency_ii.Products.Product_Name
solvency_ii.Products	has	solvency_ii.Products.Product_Type_Code
solvency_ii.Products	has	solvency_ii.Products.Product_ID
solvency_ii.Parties	has	solvency_ii.Parties.Party_ID
solvency_ii.Parties	has	solvency_ii.Parties.Party_Details
solvency_ii.Assets	has	solvency_ii.Assets.Other_Details
solvency_ii.Assets	has	solvency_ii.Assets.Asset_ID
solvency_ii.Channels	has	solvency_ii.Channels.Channel_ID
solvency_ii.Channels	has	solvency_ii.Channels.Other_Details
solvency_ii.Finances	has	solvency_ii.Finances.Other_Details
solvency_ii.Finances	has	solvency_ii.Finances.Finance_ID
solvency_ii.Events	has	solvency_ii.Events.Channel_ID
solvency_ii.Events	has	solvency_ii.Events.Event_Type_Code
solvency_ii.Events	has	solvency_ii.Events.Event_ID
solvency_ii.Events	has	solvency_ii.Events.Address_ID
solvency_ii.Events	has	solvency_ii.Events.Finance_ID
solvency_ii.Events	has	solvency_ii.Events.Location_ID
solvency_ii.Products_in_Events	has	solvency_ii.Products_in_Events.Event_ID
solvency_ii.Products_in_Events	has	solvency_ii.Products_in_Events.Product_in_Event_ID
solvency_ii.Products_in_Events	has	solvency_ii.Products_in_Events.Product_ID
solvency_ii.Agreements	has	solvency_ii.Agreements.Event_ID
solvency_ii.Agreements	has	solvency_ii.Agreements.Document_ID
solvency_ii.Assets_in_Events	has	solvency_ii.Assets_in_Events.Event_ID
solvency_ii.Assets_in_Events	has	solvency_ii.Assets_in_Events.Asset_ID
solvency_ii.Parties_in_Events	has	solvency_ii.Parties_in_Events.Party_ID
solvency_ii.Parties_in_Events	has	solvency_ii.Parties_in_Events.Event_ID
solvency_ii.Parties_in_Events	has	solvency_ii.Parties_in_Events.Role_Code
party_host	has	*
party_host	has	party_host.party
party_host.party	has	*
party_host	has	party_host.host
party_host.host	has	*
party_host	has	party_host.party_host
party_host.party_host	has	*
party_host.party	has	party_host.party.Last_year
party_host.party	has	party_host.party.Party_ID
party_host.party	has	party_host.party.First_year
party_host.party	has	party_host.party.Location
party_host.party	has	party_host.party.Party_Theme
party_host.party	has	party_host.party.Number_of_hosts
party_host.host	has	party_host.host.Age
party_host.host	has	party_host.host.Name
party_host.host	has	party_host.host.Nationality
party_host.host	has	party_host.host.Host_ID
party_host.party_host	has	party_host.party_host.Party_ID
party_host.party_host	has	party_host.party_host.Is_Main_in_Charge
party_host.party_host	has	party_host.party_host.Host_ID
singer	has	*
singer	has	singer.singer
singer.singer	has	*
singer	has	singer.song
singer.song	has	*
singer	has	singer.song_HAS_singer
singer.song_HAS_singer	has	*
singer.singer	has	singer.singer.Name
singer.singer	has	singer.singer.Citizenship
singer.singer	has	singer.singer.Net_Worth_Millions
singer.singer	has	singer.singer.Birth_Year
singer.singer	has	singer.singer.Singer_ID
singer.song	has	singer.song.Highest_Position
singer.song	has	singer.song.Title
singer.song	has	singer.song.Sales
singer.song	has	singer.song.Song_ID
singer.song	has	singer.song.Singer_ID
coffee_shop	has	*
coffee_shop	has	coffee_shop.shop
coffee_shop.shop	has	*
coffee_shop	has	coffee_shop.member
coffee_shop.member	has	*
coffee_shop	has	coffee_shop.happy_hour
coffee_shop.happy_hour	has	*
coffee_shop	has	coffee_shop.happy_hour_member
coffee_shop.happy_hour_member	has	*
coffee_shop	has	coffee_shop.happy_hour_HAS_coffee_shop
coffee_shop.happy_hour_HAS_coffee_shop	has	*
coffee_shop	has	coffee_shop.happy_hour_member_HAS_coffee_shop
coffee_shop.happy_hour_member_HAS_coffee_shop	has	*
coffee_shop.shop	has	coffee_shop.shop.Score
coffee_shop.shop	has	coffee_shop.shop.Open_Year
coffee_shop.shop	has	coffee_shop.shop.Shop_ID
coffee_shop.shop	has	coffee_shop.shop.Num_of_staff
coffee_shop.shop	has	coffee_shop.shop.Address
coffee_shop.member	has	coffee_shop.member.Age
coffee_shop.member	has	coffee_shop.member.Name
coffee_shop.member	has	coffee_shop.member.Level_of_membership
coffee_shop.member	has	coffee_shop.member.Membership_card
coffee_shop.member	has	coffee_shop.member.Time_of_purchase
coffee_shop.member	has	coffee_shop.member.Address
coffee_shop.member	has	coffee_shop.member.Member_ID
coffee_shop.happy_hour	has	coffee_shop.happy_hour.Num_of_shaff_in_charge
coffee_shop.happy_hour	has	coffee_shop.happy_hour.Shop_ID
coffee_shop.happy_hour	has	coffee_shop.happy_hour.HH_ID
coffee_shop.happy_hour	has	coffee_shop.happy_hour.Month
coffee_shop.happy_hour_member	has	coffee_shop.happy_hour_member.HH_ID
coffee_shop.happy_hour_member	has	coffee_shop.happy_hour_member.Total_amount
coffee_shop.happy_hour_member	has	coffee_shop.happy_hour_member.Member_ID
course_teach	has	*
course_teach	has	course_teach.course
course_teach.course	has	*
course_teach	has	course_teach.teacher
course_teach.teacher	has	*
course_teach	has	course_teach.course_arrange
course_teach.course_arrange	has	*
course_teach.course	has	course_teach.course.Course
course_teach.course	has	course_teach.course.Course_ID
course_teach.course	has	course_teach.course.Staring_Date
course_teach.teacher	has	course_teach.teacher.Age
course_teach.teacher	has	course_teach.teacher.Name
course_teach.teacher	has	course_teach.teacher.Teacher_ID
course_teach.teacher	has	course_teach.teacher.Hometown
course_teach.course_arrange	has	course_teach.course_arrange.Teacher_ID
course_teach.course_arrange	has	course_teach.course_arrange.Course_ID
course_teach.course_arrange	has	course_teach.course_arrange.Grade
tracking_software_problems	has	*
tracking_software_problems	has	tracking_software_problems.Problem_Category_Codes
tracking_software_problems.Problem_Category_Codes	has	*
tracking_software_problems	has	tracking_software_problems.Problem_Log
tracking_software_problems.Problem_Log	has	*
tracking_software_problems	has	tracking_software_problems.Problem_Status_Codes
tracking_software_problems.Problem_Status_Codes	has	*
tracking_software_problems	has	tracking_software_problems.Product
tracking_software_problems.Product	has	*
tracking_software_problems	has	tracking_software_problems.Staff
tracking_software_problems.Staff	has	*
tracking_software_problems	has	tracking_software_problems.Problems
tracking_software_problems.Problems	has	*
tracking_software_problems	has	tracking_software_problems.problem_log_HAS_tracking_software_problems
tracking_software_problems.problem_log_HAS_tracking_software_problems	has	*
tracking_software_problems	has	tracking_software_problems.problems_HAS_tracking_software_problems
tracking_software_problems.problems_HAS_tracking_software_problems	has	*
tracking_software_problems.Problem_Category_Codes	has	tracking_software_problems.Problem_Category_Codes.problem_category_code
tracking_software_problems.Problem_Category_Codes	has	tracking_software_problems.Problem_Category_Codes.problem_category_description
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.problem_log_id
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.assigned_to_staff_id
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.log_entry_description
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.log_entry_date
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.problem_status_code
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.other_log_details
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.problem_category_code
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.log_entry_fix
tracking_software_problems.Problem_Log	has	tracking_software_problems.Problem_Log.problem_id
tracking_software_problems.Problem_Status_Codes	has	tracking_software_problems.Problem_Status_Codes.problem_status_description
tracking_software_problems.Problem_Status_Codes	has	tracking_software_problems.Problem_Status_Codes.problem_status_code
tracking_software_problems.Product	has	tracking_software_problems.Product.product_details
tracking_software_problems.Product	has	tracking_software_problems.Product.product_name
tracking_software_problems.Product	has	tracking_software_problems.Product.product_id
tracking_software_problems.Staff	has	tracking_software_problems.Staff.staff_first_name
tracking_software_problems.Staff	has	tracking_software_problems.Staff.staff_id
tracking_software_problems.Staff	has	tracking_software_problems.Staff.other_staff_details
tracking_software_problems.Staff	has	tracking_software_problems.Staff.staff_last_name
tracking_software_problems.Problems	has	tracking_software_problems.Problems.reported_by_staff_id
tracking_software_problems.Problems	has	tracking_software_problems.Problems.other_problem_details
tracking_software_problems.Problems	has	tracking_software_problems.Problems.problem_id
tracking_software_problems.Problems	has	tracking_software_problems.Problems.product_id
tracking_software_problems.Problems	has	tracking_software_problems.Problems.problem_description
tracking_software_problems.Problems	has	tracking_software_problems.Problems.closure_authorised_by_staff_id
tracking_software_problems.Problems	has	tracking_software_problems.Problems.date_problem_reported
tracking_software_problems.Problems	has	tracking_software_problems.Problems.date_problem_closed
news_report	has	*
news_report	has	news_report.event
news_report.event	has	*
news_report	has	news_report.journalist
news_report.journalist	has	*
news_report	has	news_report.news_report
news_report.news_report	has	*
news_report.event	has	news_report.event.Date
news_report.event	has	news_report.event.Name
news_report.event	has	news_report.event.Venue
news_report.event	has	news_report.event.Event_Attendance
news_report.event	has	news_report.event.Event_ID
news_report.journalist	has	news_report.journalist.Age
news_report.journalist	has	news_report.journalist.Name
news_report.journalist	has	news_report.journalist.Years_working
news_report.journalist	has	news_report.journalist.journalist_ID
news_report.journalist	has	news_report.journalist.Nationality
news_report.news_report	has	news_report.news_report.Event_ID
news_report.news_report	has	news_report.news_report.Work_Type
news_report.news_report	has	news_report.news_report.journalist_ID
game_injury	has	*
game_injury	has	game_injury.stadium
game_injury.stadium	has	*
game_injury	has	game_injury.game
game_injury.game	has	*
game_injury	has	game_injury.injury_accident
game_injury.injury_accident	has	*
game_injury	has	game_injury.game_HAS_game_injury
game_injury.game_HAS_game_injury	has	*
game_injury	has	game_injury.injury_accident_HAS_game_injury
game_injury.injury_accident_HAS_game_injury	has	*
game_injury.stadium	has	game_injury.stadium.name
game_injury.stadium	has	game_injury.stadium.id
game_injury.stadium	has	game_injury.stadium.Home_Games
game_injury.stadium	has	game_injury.stadium.Average_Attendance
game_injury.stadium	has	game_injury.stadium.Total_Attendance
game_injury.stadium	has	game_injury.stadium.Capacity_Percentage
game_injury.game	has	game_injury.game.id
game_injury.game	has	game_injury.game.Date
game_injury.game	has	game_injury.game.Season
game_injury.game	has	game_injury.game.Score
game_injury.game	has	game_injury.game.Competition
game_injury.game	has	game_injury.game.stadium_id
game_injury.game	has	game_injury.game.Home_team
game_injury.game	has	game_injury.game.Away_team
game_injury.injury_accident	has	game_injury.injury_accident.id
game_injury.injury_accident	has	game_injury.injury_accident.game_id
game_injury.injury_accident	has	game_injury.injury_accident.Injury
game_injury.injury_accident	has	game_injury.injury_accident.Source
game_injury.injury_accident	has	game_injury.injury_accident.Number_of_matches
game_injury.injury_accident	has	game_injury.injury_accident.Player
insurance_policies	has	*
insurance_policies	has	insurance_policies.Customers
insurance_policies.Customers	has	*
insurance_policies	has	insurance_policies.Customer_Policies
insurance_policies.Customer_Policies	has	*
insurance_policies	has	insurance_policies.Claims
insurance_policies.Claims	has	*
insurance_policies	has	insurance_policies.Settlements
insurance_policies.Settlements	has	*
insurance_policies	has	insurance_policies.Payments
insurance_policies.Payments	has	*
insurance_policies	has	insurance_policies.customer_policies_HAS_insurance_policies
insurance_policies.customer_policies_HAS_insurance_policies	has	*
insurance_policies	has	insurance_policies.claims_HAS_insurance_policies
insurance_policies.claims_HAS_insurance_policies	has	*
insurance_policies	has	insurance_policies.settlements_HAS_insurance_policies
insurance_policies.settlements_HAS_insurance_policies	has	*
insurance_policies	has	insurance_policies.payments_HAS_insurance_policies
insurance_policies.payments_HAS_insurance_policies	has	*
